nohup: ignoring input
METEOR Score: 0.646552
ROUGE Score: 0.358974
***** Case No.64 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.65 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.66 *****
BLEU Score: 0.290537
METEOR Score: 0.490839
ROUGE Score: 0.235294
***** Case No.67 *****
BLEU Score: 0.676130
METEOR Score: 0.928079
ROUGE Score: 0.705882
***** Case No.68 *****
BLEU Score: 0.324132
METEOR Score: 0.526087
ROUGE Score: 0.333333
***** Case No.69 *****
BLEU Score: 0.663072
METEOR Score: 0.714417
ROUGE Score: 0.952381
***** Case No.70 *****
BLEU Score: 0.410652
METEOR Score: 0.691462
ROUGE Score: 0.400000
***** Case No.71 *****
BLEU Score: 0.524012
METEOR Score: 0.754207
ROUGE Score: 0.526316
***** Case No.72 *****
BLEU Score: 0.820532
METEOR Score: 0.933750
ROUGE Score: 0.769231
***** Case No.73 *****
BLEU Score: 0.524012
METEOR Score: 0.754207
ROUGE Score: 0.526316
***** Case No.74 *****
BLEU Score: 0.445183
METEOR Score: 0.684807
ROUGE Score: 0.434783
***** Case No.75 *****
BLEU Score: 1.000000
METEOR Score: 0.999953
ROUGE Score: 1.000000
***** Case No.76 *****
BLEU Score: 0.156131
METEOR Score: 0.278047
ROUGE Score: 0.210526
***** Case No.77 *****
BLEU Score: 0.457366
METEOR Score: 0.634395
ROUGE Score: 0.476190
***** Case No.78 *****
BLEU Score: 0.191587
METEOR Score: 0.586250
ROUGE Score: 0.173913
***** Case No.79 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.80 *****
BLEU Score: 0.539059
METEOR Score: 0.850151
ROUGE Score: 0.470588
***** Case No.81 *****
BLEU Score: 0.568285
METEOR Score: 0.854670
ROUGE Score: 0.560000
***** Case No.82 *****
BLEU Score: 0.718909
METEOR Score: 0.948947
ROUGE Score: 0.785714
***** Case No.83 *****
BLEU Score: 0.563258
METEOR Score: 0.993343
ROUGE Score: 0.642857
***** Case No.84 *****
BLEU Score: 0.395672
METEOR Score: 0.664963
ROUGE Score: 0.416667
***** Case No.85 *****
BLEU Score: 0.435429
METEOR Score: 0.694444
ROUGE Score: 0.461538
***** Case No.86 *****
BLEU Score: 0.572815
METEOR Score: 0.760103
ROUGE Score: 0.733333
***** Case No.87 *****
BLEU Score: 0.390227
METEOR Score: 0.767547
ROUGE Score: 0.378378
***** Case No.88 *****
BLEU Score: 0.468257
METEOR Score: 0.694718
ROUGE Score: 0.555556
***** Case No.89 *****
BLEU Score: 0.435429
METEOR Score: 0.728019
ROUGE Score: 0.400000
***** Case No.90 *****
BLEU Score: 0.089479
METEOR Score: 0.502148
ROUGE Score: 0.111111
***** Case No.91 *****
BLEU Score: 0.239618
METEOR Score: 0.414710
ROUGE Score: 0.285714
***** Case No.92 *****
BLEU Score: 0.677340
METEOR Score: 0.896999
ROUGE Score: 0.733333
***** Case No.93 *****
BLEU Score: 0.570675
METEOR Score: 0.745885
ROUGE Score: 0.500000
***** Case No.94 *****
BLEU Score: 0.570675
METEOR Score: 0.745885
ROUGE Score: 0.500000
***** Case No.95 *****
BLEU Score: 0.451801
METEOR Score: 0.818606
ROUGE Score: 0.416667
***** Case No.96 *****
BLEU Score: 0.346719
METEOR Score: 0.703589
ROUGE Score: 0.380952
***** Case No.97 *****
BLEU Score: 0.346719
METEOR Score: 0.703589
ROUGE Score: 0.380952
***** Case No.98 *****
BLEU Score: 0.794655
METEOR Score: 0.903519
ROUGE Score: 0.814815
***** Case No.99 *****
BLEU Score: 0.456304
METEOR Score: 0.637755
ROUGE Score: 0.526316
***** Case No.100 *****
BLEU Score: 0.407163
METEOR Score: 0.600613
ROUGE Score: 0.470588
***** Case No.101 *****
BLEU Score: 0.302151
METEOR Score: 0.568153
ROUGE Score: 0.380952
***** Case No.102 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.103 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.104 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.105 *****
BLEU Score: 1.000000
METEOR Score: 0.999818
ROUGE Score: 1.000000
***** Case No.106 *****
BLEU Score: 0.426015
METEOR Score: 0.649351
ROUGE Score: 0.421053
***** Case No.107 *****
BLEU Score: 0.301304
METEOR Score: 0.528980
ROUGE Score: 0.272727
***** Case No.108 *****
BLEU Score: 0.331906
METEOR Score: 0.648481
ROUGE Score: 0.388889
***** Case No.109 *****
BLEU Score: 0.816480
METEOR Score: 0.912929
ROUGE Score: 0.903226
***** Case No.110 *****
BLEU Score: 0.857893
METEOR Score: 0.994184
ROUGE Score: 0.909091
***** Case No.111 *****
BLEU Score: 1.000000
METEOR Score: 0.999927
ROUGE Score: 1.000000
***** Case No.112 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.113 *****
BLEU Score: 0.371781
METEOR Score: 0.605023
ROUGE Score: 0.352941
***** Case No.114 *****
BLEU Score: 0.474433
METEOR Score: 0.764729
ROUGE Score: 0.470588
