nohup: ignoring input
METEOR Score: 0.751773
ROUGE Score: 0.341463
***** Case No.64 *****
BLEU Score: 0.939104
METEOR Score: 0.994051
ROUGE Score: 0.960000
***** Case No.65 *****
BLEU Score: 1.000000
METEOR Score: 0.999898
ROUGE Score: 1.000000
***** Case No.66 *****
BLEU Score: 0.408185
METEOR Score: 0.635492
ROUGE Score: 0.421053
***** Case No.67 *****
BLEU Score: 1.000000
METEOR Score: 0.999772
ROUGE Score: 1.000000
***** Case No.68 *****
BLEU Score: 0.265476
METEOR Score: 0.526087
ROUGE Score: 0.250000
***** Case No.69 *****
BLEU Score: 0.670683
METEOR Score: 0.710772
ROUGE Score: 0.909091
***** Case No.70 *****
BLEU Score: 0.410652
METEOR Score: 0.691462
ROUGE Score: 0.400000
***** Case No.71 *****
BLEU Score: 0.478554
METEOR Score: 0.614638
ROUGE Score: 0.500000
***** Case No.72 *****
BLEU Score: 0.574909
METEOR Score: 0.802492
ROUGE Score: 0.592593
***** Case No.73 *****
BLEU Score: 0.482010
METEOR Score: 0.619060
ROUGE Score: 0.526316
***** Case No.74 *****
BLEU Score: 0.414124
METEOR Score: 0.676300
ROUGE Score: 0.400000
***** Case No.75 *****
BLEU Score: 0.953359
METEOR Score: 0.995428
ROUGE Score: 0.974359
***** Case No.76 *****
BLEU Score: 0.144724
METEOR Score: 0.384909
ROUGE Score: 0.200000
***** Case No.77 *****
BLEU Score: 0.470724
METEOR Score: 0.740741
ROUGE Score: 0.434783
***** Case No.78 *****
BLEU Score: 0.241296
METEOR Score: 0.574407
ROUGE Score: 0.212766
***** Case No.79 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.80 *****
BLEU Score: 0.539059
METEOR Score: 0.850151
ROUGE Score: 0.470588
***** Case No.81 *****
BLEU Score: 0.321411
METEOR Score: 0.859172
ROUGE Score: 0.333333
***** Case No.82 *****
BLEU Score: 0.939104
METEOR Score: 0.944348
ROUGE Score: 0.928571
***** Case No.83 *****
BLEU Score: 0.340635
METEOR Score: 0.668716
ROUGE Score: 0.521739
***** Case No.84 *****
BLEU Score: 0.371577
METEOR Score: 0.660617
ROUGE Score: 0.400000
***** Case No.85 *****
BLEU Score: 1.000000
METEOR Score: 0.999878
ROUGE Score: 1.000000
***** Case No.86 *****
BLEU Score: 0.623399
METEOR Score: 0.694737
ROUGE Score: 0.666667
***** Case No.87 *****
BLEU Score: 0.370064
METEOR Score: 0.718085
ROUGE Score: 0.390244
***** Case No.88 *****
BLEU Score: 0.547669
METEOR Score: 0.709712
ROUGE Score: 0.526316
***** Case No.89 *****
BLEU Score: 0.562201
METEOR Score: 0.691429
ROUGE Score: 0.533333
***** Case No.90 *****
BLEU Score: 0.102121
METEOR Score: 0.347222
ROUGE Score: 0.142857
***** Case No.91 *****
BLEU Score: 0.000000
METEOR Score: 0.000000
ROUGE Score: 0.000000
***** Case No.92 *****
BLEU Score: 0.638324
METEOR Score: 0.836878
ROUGE Score: 0.687500
***** Case No.93 *****
BLEU Score: 0.520551
METEOR Score: 0.739720
ROUGE Score: 0.470588
***** Case No.94 *****
BLEU Score: 0.000000
METEOR Score: 0.000000
ROUGE Score: 0.000000
***** Case No.95 *****
BLEU Score: 0.560790
METEOR Score: 0.771065
ROUGE Score: 0.545455
***** Case No.96 *****
BLEU Score: 0.346719
METEOR Score: 0.703589
ROUGE Score: 0.380952
***** Case No.97 *****
BLEU Score: 0.346719
METEOR Score: 0.703589
ROUGE Score: 0.380952
***** Case No.98 *****
